Campaign_ID,Influencer_Category,Category,Platform,Campaign_Type,Budget_Allocated,Amount_Spent,Revenue_Generated,ROI,Conversions,Estimated_Reach,Impressions
CAMP_0001,Fashion,Fashion,Instagram,Influencer Story Campaign,19204.24,19495.15,67863.58,2.481,1249,199814,177441
CAMP_0002,Lifestyle,Lifestyle,YouTube,Influencer Story Campaign,4489.73,4693.42,10617.78,1.2623,139,67461,89634
CAMP_0003,Lifestyle,Lifestyle,Instagram,Influencer Brand Ambassador,3686.75,3601.78,11427.88,2.1728,305,60944,63178
CAMP_0004,Travel,Travel,TikTok,Influencer Story Campaign,1028.76,1030.86,3355.26,2.2548,89,104778,150230
CAMP_0005,Tech,Tech,Instagram,Influencer Story Campaign,2941.66,2756.93,12511.17,3.5381,245,82678,111551
CAMP_0006,Food,Food,Instagram,Influencer Sponsored Post,544.84,530.37,1967.26,2.7092,27,8439,7071
CAMP_0007,Lifestyle,Lifestyle,Instagram,Influencer Sponsored Post,2357.21,2244.83,8036.85,2.5802,166,26322,26189
CAMP_0008,Fashion,Fashion,Instagram,Influencer Reel Collaboration,17839.5,16529.66,56808.79,2.4368,710,212664,294586
CAMP_0009,Fitness,Fitness,Instagram,Influencer Story Campaign,2925.43,3034.6,11455.94,2.7751,246,64565,93526
CAMP_0010,Food,Food,Instagram,Influencer Reel Collaboration,15957.58,15833.91,46162.34,1.9154,715,931414,846057
CAMP_0011,Tech,Tech,Instagram,Influencer Sponsored Post,3168.78,2938.83,10405.45,2.5407,144,53104,48335
CAMP_0012,Travel,Travel,Instagram,Influencer Story Campaign,254.37,247.37,838.97,2.3916,10,5353,6417
CAMP_0013,Travel,Travel,TikTok,Influencer Sponsored Post,2676.9,2659.45,8346.19,2.1383,134,88503,90266
CAMP_0014,Tech,Tech,YouTube,Influencer Story Campaign,9499.96,9887.3,35296.0,2.5698,461,441535,356107
CAMP_0015,Travel,Travel,TikTok,Influencer Sponsored Post,370.52,347.26,1236.59,2.561,32,5845,5842
CAMP_0016,Food,Food,TikTok,Influencer Brand Ambassador,4948.93,4893.32,17900.1,2.6581,289,97717,116109
CAMP_0017,Lifestyle,Lifestyle,Instagram,Influencer Story Campaign,4558.85,4522.01,14986.75,2.3142,232,109310,103026
CAMP_0018,Lifestyle,Lifestyle,Instagram,Influencer Reel Collaboration,4632.64,4317.61,17301.39,3.0072,358,18658,18540
CAMP_0019,Fitness,Fitness,Instagram,Influencer Story Campaign,2047.82,2001.62,7208.34,2.6013,231,109154,159532
CAMP_0020,Lifestyle,Lifestyle,Instagram,Influencer Sponsored Post,13737.64,13406.18,30095.59,1.2449,1102,265287,279945
CAMP_0021,Fitness,Fitness,Instagram,Influencer Story Campaign,15004.0,15325.31,52306.47,2.4131,884,480858,436709
CAMP_0022,Fashion,Fashion,Instagram,Influencer Story Campaign,5371.8,5587.66,14942.55,1.6742,219,882343,960164
CAMP_0023,Lifestyle,Lifestyle,Instagram,Influencer Brand Ambassador,761.02,786.42,3146.69,3.0013,45,7767,8716
CAMP_0024,Tech,Tech,Instagram,Influencer Story Campaign,354.5,338.98,1441.43,3.2523,50,6878,9225
CAMP_0025,Tech,Tech,TikTok,Influencer Reel Collaboration,17654.92,18398.21,76240.78,3.1439,2189,457235,673861
CAMP_0026,Tech,Tech,Instagram,Influencer Sponsored Post,2382.75,2327.31,11151.35,3.7915,140,53114,46790
CAMP_0027,Travel,Travel,Instagram,Influencer Brand Ambassador,548.85,570.98,1692.04,1.9634,25,10018,12717
CAMP_0028,Tech,Tech,YouTube,Influencer Sponsored Post,93661.67,89990.98,220779.0,1.4533,3081,11554812,15065487
CAMP_0029,Tech,Tech,TikTok,Influencer Brand Ambassador,9892.74,9481.55,33920.7,2.5775,442,841076,1071633
CAMP_0030,Fashion,Fashion,TikTok,Influencer Brand Ambassador,4334.9,4149.79,16504.14,2.9771,339,51829,62505
CAMP_0031,Lifestyle,Lifestyle,Instagram,Influencer Reel Collaboration,3702.51,3634.07,14727.58,3.0526,428,79000,67889
CAMP_0032,Travel,Travel,TikTok,Influencer Brand Ambassador,961.6,968.78,3093.5,2.1932,82,5348,5023
CAMP_0033,Fitness,Fitness,Instagram,Influencer Story Campaign,68901.92,67469.04,198342.48,1.9398,3074,2321854,2481562
CAMP_0034,Food,Food,Instagram,Influencer Story Campaign,5083.17,5245.11,13131.17,1.5035,178,897443,1206965
CAMP_0035,Fashion,Fashion,Instagram,Influencer Reel Collaboration,399.36,391.11,1678.65,3.292,21,3488,4244
CAMP_0036,Food,Food,TikTok,Influencer Reel Collaboration,13218.08,12434.12,28059.86,1.2567,387,1050790,1171682
CAMP_0037,Fashion,Fashion,Instagram,Influencer Reel Collaboration,2098.39,2125.17,7819.78,2.6796,105,22155,18973
CAMP_0038,Fashion,Fashion,Instagram,Influencer Reel Collaboration,15596.29,15189.74,51420.09,2.3852,1190,177348,199719
CAMP_0039,Fitness,Fitness,Instagram,Influencer Reel Collaboration,4079.18,3763.2,15772.32,3.1912,307,103163,150609
