username,name,biography,followers_count,media_count,avg_likes,avg_comments,engagement_rate,posting_frequency,total_posts_analyzed,collected_at
kaikifit,Kai Greene,"Fitness athlete, IFBB pro, bodybuilder, daily workout motivation & gym training routines.",3800000,3100,63688,3991,0.01859,2.73,25,2026-09-03T07:30:30.434506+00:00
blogilates,Cassey Ho,"Designer & CEO of POPFLEX. Pilates workout instructor, fitness for women, healthy living.",2600000,4200,25875,1992,0.01054,4.75,25,2026-09-05T04:30:30.434506+00:00
simeonpanda,Simeon Panda,"Fitness Entrepreneur, Gym Wear Owner, Lifting, Daily health, training & bodybuilding.",8200000,5400,70734,5447,0.00945,1.65,25,2026-09-04T18:30:30.434506+00:00
fit_sarah_daily,Sarah Jenkins,Micro fitness coach | Home gym workouts & nutrition meal prep tips.,45000,410,1970,136,0.04648,3.97,25,2026-09-04T13:30:30.434506+00:00
mike_lift_heavy,Mike Torres,Strength coach & powerlifter. Daily gym form checks and fitness motivation.,8500,180,654,64,0.08547,5.34,25,2026-09-04T09:30:30.434506+00:00
chiaraferragni,Chiara Ferragni,"Fashion entrepreneur, designer, style icons & luxury clothing brand founder.",28900000,16500,347417,32655,0.01317,2.06,25,2026-09-04T06:30:30.434506+00:00
songofstyle,Aimee Song,"Designer, interior & fashion style lover, modern outfit inspiration & beauty.",7300000,6800,72540,5815,0.01045,5.94,25,2026-09-03T08:30:30.434506+00:00
neaborlee,Nea Borlee,Fashion stylist & beauty consultant. Minimalist streetwear aesthetics and outfit guides.,185000,890,4564,479,0.02719,1.93,25,2026-09-04T12:30:30.434506+00:00
chloe_styled,Chloe Martin,Daily outfit inspo | Thrifted fashion & capsule wardrobe style curator.,32000,340,1495,146,0.04988,4.68,25,2026-09-03T09:30:30.434506+00:00
elena_vintage,Elena Rossi,Sustainable fashion & vintage style lover in Milan.,7800,195,355,32,0.04848,6.92,25,2026-09-04T16:30:30.434506+00:00
mkbhd,Marques Brownlee,"Quality tech videos | Smartphones, EVs, computing, gadget reviews & software.",4900000,1980,99466,7243,0.022,6.09,25,2026-09-04T20:30:30.434506+00:00
ijustine,Justine Ezarik,"Tech enthusiast, Apple lover, gamer, digital hardware & software creator.",1700000,4500,22576,1385,0.01455,6.65,25,2026-09-03T13:30:30.434506+00:00
austinnotduncan,Austin Evans,Tech & gaming hardware. Is this gadget worth it? Future digital computing.,540000,1420,9841,755,0.01943,2.85,25,2026-09-04T01:30:30.434506+00:00
code_with_alex,Alex Chen,"Software engineer & web developer. Python, cloud coding & AI tech tips.",78000,510,2722,222,0.03638,4.56,25,2026-09-03T11:30:30.434506+00:00
byte_sized_tech,Devon Vance,Minimalist tech setups & gadget EDC reviews.,9200,220,532,24,0.06121,6.02,25,2026-09-04T10:30:30.434506+00:00
gordonramsay,Gordon Ramsay,"Chef, restaurateur, author. Passionate cooking & delicious recipe inspiration.",17500000,4800,237568,24910,0.01502,4.62,25,2026-09-03T09:30:30.434506+00:00
jamieoliver,Jamie Oliver,"Chef, campaigner for food education. Quick, healthy recipes & family cooking.",10200000,7200,131454,8919,0.01372,6.53,25,2026-09-04T01:30:30.434506+00:00
minimalistbaker,Dana Shultz,Simple cooking with 10 ingredients or less. Plant-based recipe baking.,2200000,4900,22268,2076,0.01114,4.46,25,2026-09-03T07:30:30.434506+00:00
tasty_bites_sam,Samira K.,Home baker & sourdough bread artisan. Easy comfort food recipes.,64000,620,2596,174,0.04254,2.71,25,2026-09-04T22:30:30.434506+00:00
chef_marcus_eats,Marcus Lee,Street food explorer & small batch culinary creator.,8900,140,567,26,0.07048,2.1,25,2026-09-03T14:30:30.434506+00:00
doyoutravel,Jack Morris,"Travel photographer & explorer. Chasing horizons, luxury destination wanderlust.",2400000,1850,25740,2073,0.0114,3.62,25,2026-09-03T16:30:30.434506+00:00
muaborlee,Murad Osmann,#FollowMeTo travel & visual storytelling across breathtaking world destinations.,3300000,2200,73615,7763,0.02394,6.23,25,2026-09-05T06:30:30.434506+00:00
adventurouskate,Kate McCulley,"Solo female travel explorer, destination guides, backpacking adventures.",115000,1950,3296,338,0.03161,5.63,25,2026-09-03T13:30:30.434506+00:00
wander_nomad_dan,Dan Cooper,"Budget travel tips, remote work nomad & backpacking through Southeast Asia.",42000,390,1356,73,0.03521,1.52,25,2026-09-03T08:30:30.434506+00:00
hidden_trails_zoe,Zoe Williams,Weekend hiking adventures & nature travel guide.,6700,160,544,41,0.08879,2.48,25,2026-09-05T00:30:30.434506+00:00
daily_liv_vlog,Olivia Carter,"Daily lifestyle vlogs, wellness routines, productive mornings & self care.",140000,890,4550,388,0.03541,4.85,25,2026-09-04T21:30:30.434506+00:00
the_simple_space,Hannah Wright,"Intentional living, home aesthetics, books & cozy lifestyle moments.",28000,430,922,98,0.03622,6.57,25,2026-09-05T06:30:30.434506+00:00
mindful_marco,Marco Silva,"Mindfulness, morning habits, daily journal & lifestyle balance.",8400,210,585,29,0.07495,3.5,25,2026-09-04T11:30:30.434506+00:00
